"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"100",31,337,119,32,122,349,441,18,158,148
"101",335,476,284,101,195,144,235,265,451,508
"102",342,204,518,364,420,437,329,539,382,421
"103",355,134,504,17,264,301,144,100,287,363
"104",183,200,516,234,430,492,289,15,271,554
"105",294,226,243,205,301,412,176,374,371,506
"106",90,116,344,394,482,304,451,326,441,482
"107",484,284,294,13,176,477,146,522,233,96
"108",201,254,552,9,361,131,37,295,70,337
"109",233,29,551,116,313,288,560,288,213,335
"110",131,303,263,115,518,517,305,529,207,135
"111",506,170,116,178,349,512,128,369,311,441
"112",33,320,109,183,329,282,401,200,55,409
"113",435,324,58,155,202,482,105,220,200,237
"114",406,472,7,239,225,250,123,8,338,447
"115",542,173,538,353,137,299,315,531,80,58
"116",73,505,246,200,392,409,428,10,197,21
"117",97,509,305,307,488,50,545,324,411,504
"118",265,362,392,517,56,347,256,373,76,273
"119",547,403,310,370,116,545,142,99,72,420
"120",382,452,224,113,382,530,460,501,133,184
"121",517,103,146,295,242,546,405,448,175,147
"122",203,356,379,333,57,461,126,446,355,85
"123",486,76,133,480,188,311,122,263,230,283
"124",322,266,461,39,302,464,392,205,335,364
"125",225,246,394,329,34,384,204,411,426,60
"126",373,10,565,553,376,189,410,387,455,327
"127",291,11,118,95,28,558,196,389,534,143
"128",417,265,357,94,284,269,50,393,253,5
"129",320,565,111,499,325,521,265,86,163,119
"130",13,179,60,273,533,518,385,425,142,521
"131",86,2,275,349,516,89,369,124,58,465
"132",213,438,150,100,432,10,376,6,134,178
"133",93,430,498,528,566,351,200,22,467,261
"134",81,95,218,249,374,203,555,149,354,16
"135",443,545,5,215,32,28,99,204,548,268
"136",558,225,353,303,360,86,34,217,361,27
"137",298,469,175,34,535,130,10,563,151,341
"138",270,529,66,438,20,416,427,300,120,171
"139",562,148,108,319,31,195,45,111,192,563
"140",402,269,245,536,449,393,463,28,195,204
"141",487,507,107,156,274,376,498,74,105,44
"142",282,129,500,146,342,550,276,372,506,540
"143",207,312,250,175,46,391,216,167,404,210
"144",480,46,213,422,319,324,338,319,68,114
"145",284,247,74,89,552,263,353,321,547,246
"146",231,125,499,158,415,21,76,317,95,367
"147",449,461,293,140,248,210,272,316,543,410
"148",525,466,557,185,130,211,432,508,102,212
"149",129,517,320,559,4,23,137,296,319,194
"150",426,47,186,237,72,80,466,119,500,476
"151",126,319,297,379,185,446,251,381,431,445
"152",275,88,226,440,310,560,214,382,316,418
"153",459,267,298,428,196,113,264,33,244,30
"154",411,274,105,18,103,98,467,488,295,389
"155",500,562,475,539,290,246,147,180,167,198
"156",403,321,151,412,450,129,145,327,274,450
"157",178,182,541,173,48,527,260,49,513,315
"158",232,445,87,56,311,279,287,336,236,490
"159",347,495,253,33,485,257,359,367,363,217
"160",34,156,512,444,222,415,556,310,122,388
"161",292,99,501,558,299,185,66,75,174,535
"162",143,137,53,531,298,350,222,56,288,437
"163",308,399,333,325,166,1,413,264,485,126
"164",306,367,51,546,417,314,88,153,112,559
"165",198,215,19,338,435,522,291,104,93,474
"166",554,209,508,207,187,270,168,379,469,391
"167",324,214,443,326,539,53,531,313,131,167
"168",193,189,505,327,162,511,515,258,201,100
"169",16,232,314,71,119,266,97,165,326,562
"170",472,20,343,286,305,296,3,470,159,313
"171",200,13,543,88,281,249,343,145,204,531
"172",468,135,470,245,181,136,14,444,77,314
"173",217,353,473,181,108,381,236,231,454,526
"174",567,15,286,434,58,188,61,146,464,569
"175",14,21,78,427,426,115,508,555,273,344
"176",258,377,202,532,321,327,130,239,182,216
"177",269,423,47,542,64,106,234,515,283,396
"178",451,160,179,186,568,112,213,323,228,537
"179",439,258,267,371,257,525,70,171,551,480
"180",165,418,16,363,159,224,158,98,129,22
"181",85,228,136,133,254,170,57,390,290,15
"182",249,118,264,180,394,321,5,240,346,47
"183",474,114,115,454,253,55,89,482,250,377
"184",501,513,317,471,106,128,78,354,327,493
"185",202,357,521,310,555,206,447,432,356,24
"186",361,327,377,114,210,56,419,269,364,49
"187",243,379,28,368,545,341,544,85,375,33
"188",414,480,531,467,500,532,75,286,265,249
"189",238,569,184,28,221,303,312,169,303,438
"190",252,147,412,4,397,281,532,235,46,173
"191",297,196,282,377,13,78,36,486,377,134
"192",321,309,503,461,87,444,384,203,117,328
"193",145,398,471,150,542,397,274,218,450,440
"194",64,248,54,12,403,127,46,378,262,139
"195",100,3,227,269,475,462,225,206,321,541
"196",278,453,479,315,448,37,482,421,237,544
"197",430,126,534,7,492,563,111,495,297,310
"198",529,481,124,167,135,197,258,106,183,349
"199",312,25,413,314,508,325,266,185,302,325
"200",29,449,128,311,548,539,95,270,452,516
"201",75,339,164,557,209,24,378,500,429,159
"202",51,127,468,473,421,471,518,415,212,163
"203",226,81,268,506,326,354,368,61,565,245
"204",219,294,195,321,368,96,295,278,87,565
"205",247,323,346,51,507,54,416,341,34,296
"206",170,295,554,552,168,326,285,222,140,489
"207",379,459,49,447,212,143,319,39,322,461
"208",280,540,548,418,388,345,207,429,21,304
"209",564,42,549,318,91,447,205,564,53,278
"210",59,457,152,292,525,204,375,290,460,275
"211",310,331,466,1,131,105,540,126,264,209
"212",550,207,369,516,470,231,64,477,391,374
"213",301,131,230,121,158,478,193,523,210,379
"214",261,559,563,153,191,465,333,50,190,462
"215",167,164,192,544,86,551,149,399,483,384
"216",399,106,561,477,203,309,112,420,184,361
"217",111,471,434,452,463,256,434,43,553,402
"218",295,386,89,26,24,182,220,458,521,532
"219",66,490,530,208,387,202,127,105,403,192
"220",195,141,568,177,352,8,493,312,98,345
"221",532,523,172,63,165,419,4,82,299,330
"222",333,195,68,171,383,245,29,459,185,543
"223",492,199,223,137,243,333,499,301,216,34
"224",20,542,290,192,529,298,17,363,255,415
"225",89,251,385,291,207,273,221,451,444,452
"226",413,462,81,489,127,35,379,471,110,99
"227",106,313,363,384,554,39,198,340,437,370
"228",444,188,135,402,112,290,318,191,143,207
"229",388,203,244,437,63,103,246,542,252,144
"230",79,32,25,37,309,329,288,242,554,120
"231",153,432,375,535,1,533,18,528,266,115
"232",285,8,163,429,97,84,486,13,350,319
"233",7,283,157,127,200,475,185,513,538,81
"234",375,434,20,5,155,544,548,418,162,507
"235",551,328,239,487,506,9,26,101,17,515
"236",534,348,219,515,303,383,165,455,23,357
"237",128,190,271,47,85,335,509,141,275,542
"238",117,485,82,381,478,212,240,524,48,185
"239",515,130,312,135,45,284,241,255,422,292
"240",560,194,354,551,198,394,138,112,407,301
"241",457,152,77,64,505,181,317,228,366,166
"242",304,100,97,289,452,537,283,154,397,77
"243",38,416,374,252,534,331,281,496,334,242
"244",206,364,182,486,509,205,453,447,515,536
"245",175,498,211,347,148,17,136,568,540,481
"246",372,107,149,393,213,399,341,479,52,150
"247",328,355,221,497,194,69,6,330,476,19
"248",537,464,389,522,10,287,7,156,425,468
"249",251,411,402,43,279,271,245,93,494,180
"250",18,363,207,58,324,133,250,76,520,186
"251",508,553,383,504,102,30,491,305,172,142
"252",422,219,520,359,83,26,119,20,294,10
"253",408,222,345,190,549,451,348,514,4,76
"254",497,516,126,119,3,60,100,3,49,23
"255",96,34,291,380,66,64,28,294,336,152
"256",519,512,325,184,295,48,253,445,32,7
"257",521,396,311,456,186,484,302,551,100,107
"258",60,506,173,355,192,222,54,17,246,362
"259",50,479,323,46,315,565,452,273,161,534
"260",490,460,533,104,206,374,476,395,92,8
"261",105,292,487,214,156,167,244,289,542,557
"262",139,19,26,372,307,372,80,527,215,172
"263",327,492,96,469,54,318,373,243,242,454
"264",114,128,225,84,177,76,41,32,337,240
"265",466,566,511,92,144,201,478,135,24,26
"266",458,108,299,374,124,568,103,438,18,176
"267",354,259,328,419,496,44,446,12,74,78
"268",135,45,137,561,16,152,558,345,373,426
"269",156,538,404,270,240,528,567,216,549,416
"270",549,115,215,157,440,336,233,163,118,36
"271",155,458,433,187,569,116,552,386,491,368
"272",82,504,106,512,269,389,296,58,173,522
"273",313,94,517,568,395,100,399,11,260,281
"274",10,354,206,387,52,219,143,440,400,61
"275",482,435,153,110,466,459,82,463,497,326
"276",246,73,465,388,538,199,417,148,248,529
"277",374,84,48,61,68,472,506,283,226,236
"278",125,72,190,258,294,166,337,155,413,431
"279",210,474,524,275,528,41,494,517,2,320
"280",4,551,481,352,26,378,263,561,84,102
"281",272,54,141,281,276,488,257,394,193,289
"282",3,301,547,82,334,348,209,503,67,181
"283",35,113,405,247,322,223,92,110,340,511
"284",431,150,191,241,182,264,199,497,511,123
"285",477,139,569,385,414,114,554,351,313,356
"286",212,448,419,435,199,184,507,472,119,13
"287",552,425,422,340,183,19,299,362,234,191
"288",286,144,335,391,241,365,387,478,418,347
"289",464,349,387,341,531,141,77,67,291,230
"290",39,250,309,283,255,408,106,280,33,498
"291",356,245,72,251,377,411,412,292,63,338
"292",240,124,336,433,117,101,280,462,124,425
"293",277,521,456,298,261,438,155,62,405,365
"294",494,68,185,74,27,473,197,534,386,128
"295",141,177,280,556,23,194,282,417,456,355
"296",273,280,3,99,337,33,243,224,310,464
"297",350,468,347,229,111,61,300,306,88,568
"298",140,486,409,336,271,503,440,83,146,359
"299",371,22,12,138,163,124,346,88,30,393
"300",368,358,542,267,517,567,450,441,135,381
"301",447,530,355,131,113,427,160,334,369,405
"302",336,318,161,44,380,110,27,9,258,290
"303",419,9,266,376,197,278,351,221,367,423
"304",442,243,248,213,513,306,479,299,331,558
"305",148,133,426,282,459,58,217,322,341,311
"306",504,260,486,550,362,168,397,315,39,477
"307",264,421,303,475,47,359,370,214,347,286
"308",465,375,448,272,179,401,306,434,461,11
"309",516,44,238,224,115,485,226,376,10,1
"310",74,343,292,342,438,146,496,485,420,89
"311",471,465,386,3,318,59,395,284,358,158
"312",77,496,22,331,288,557,190,535,203,308
"313",149,557,204,547,132,47,403,272,57,116
"314",68,85,324,317,489,31,9,347,79,224
"315",173,157,33,297,100,330,449,60,12,247
"316",483,149,410,19,175,90,85,569,489,205
"317",239,67,24,410,41,445,32,409,221,399
"318",317,491,140,188,522,2,297,80,528,387
"319",134,429,11,274,422,320,113,307,5,35
"320",476,65,236,373,201,148,527,223,517,457
"321",384,155,171,396,384,505,208,2,191,129
"322",323,40,180,466,37,42,25,182,523,386
"323",67,14,255,375,358,395,393,57,107,329
"324",32,271,21,366,353,500,513,114,90,199
"325",397,181,101,411,546,366,191,338,6,124
"326",76,143,30,423,428,234,69,198,514,112
"327",357,112,326,57,504,315,116,537,60,470
"328",448,408,10,23,409,523,535,115,471,546
"329",455,382,529,398,540,423,247,548,567,312
"330",196,151,265,459,237,468,484,73,43,309
"331",19,550,483,476,285,302,421,161,428,279
"332",223,58,199,14,107,386,182,96,130,156
"333",281,451,444,83,407,267,523,368,127,189
"334",556,414,556,109,477,213,363,385,8,306
"335",254,132,349,425,180,215,55,546,518,382
"336",296,478,158,514,530,95,114,184,365,2
"337",359,241,50,305,219,3,525,483,269,553
"338",160,511,178,246,498,400,448,59,268,266
"339",208,186,235,463,427,87,454,361,352,398
"340",363,424,283,50,398,355,109,95,412,195
"341",427,311,555,322,125,97,84,333,56,353
"342",57,217,169,212,323,334,98,360,205,53
"343",326,365,1,91,282,339,248,77,561,46
"344",478,497,562,457,227,139,342,71,557,73
"345",221,290,160,78,501,297,308,136,286,380
"346",37,146,455,390,70,319,163,210,115,226
"347",235,17,203,244,344,161,91,358,537,417
"348",460,109,332,397,121,417,48,52,293,82
"349",438,454,273,194,320,510,429,337,29,111
"350",227,393,368,35,386,91,457,116,298,175
"351",266,240,176,357,128,498,179,25,496,538
"352",289,514,338,279,259,38,511,350,47,518
"353",300,252,442,519,29,407,490,241,206,93
"354",389,97,113,62,366,171,101,566,245,248
"355",445,169,145,141,69,238,464,275,247,213
"356",70,300,378,69,339,496,262,186,121,488
"357",512,417,278,148,336,225,462,558,147,463
"358",133,381,287,102,300,251,83,468,50,54
"359",420,420,523,165,291,34,93,259,305,223
"360",538,277,40,450,490,272,40,449,171,288
"361",222,527,313,441,88,441,382,194,459,555
"362",12,183,138,501,204,142,431,256,85,131
"363",401,561,154,462,171,469,426,257,390,406
"364",229,302,398,199,389,370,562,281,484,122
"365",369,404,360,300,445,507,286,525,516,449
"366",121,489,32,395,40,255,553,352,256,303
"367",287,119,2,172,238,328,273,398,97,510
"368",566,24,194,468,502,396,365,271,510,80
"369",244,347,229,538,250,79,530,412,304,519
"370",450,493,6,350,184,556,71,291,243,57
"371",344,291,550,70,101,310,229,139,312,491
"372",164,395,300,503,42,68,56,424,558,101
"373",204,426,477,162,153,46,152,175,501,282
"374",543,78,73,170,375,455,74,34,474,475
"375",27,532,395,142,511,193,268,530,449,552
"376",555,229,497,136,476,422,344,46,169,37
"377",400,333,559,123,110,207,183,526,257,59
"378",377,231,261,299,104,65,550,506,415,265
"379",381,352,110,240,480,122,430,359,502,566
"380",528,168,462,42,215,157,536,249,527,307
"381",242,427,69,108,151,515,39,346,300,530
"382",540,547,452,358,30,358,381,65,81,340
"383",441,91,84,360,354,460,63,560,536,41
"384",25,161,528,389,75,300,186,287,328,97
"385",279,93,390,287,55,534,313,406,307,372
"386",177,533,276,312,233,514,354,404,435,132
"387",58,389,14,220,561,25,175,557,465,86
"388",338,317,61,323,205,474,472,494,66,162
"389",147,526,546,277,60,529,374,339,155,98
"390",395,341,93,67,109,74,409,443,141,69
"391",330,172,396,191,82,253,529,304,103,348
"392",123,332,510,206,12,4,20,121,398,494
"393",24,568,316,210,359,274,237,536,280,500
"394",319,86,388,361,211,22,19,320,15,317
"395",541,385,485,415,6,559,364,244,388,258
"396",228,176,519,511,335,92,192,248,544,45
"397",92,159,425,465,487,323,539,370,421,556
"398",409,342,447,485,399,177,110,202,442,117
"399",150,473,196,111,308,425,8,55,178,38
"400",69,74,59,21,515,476,212,117,41,272
"401",40,397,319,290,78,497,254,457,231,201
"402",488,372,488,96,15,450,60,297,376,187
"403",5,371,237,248,178,561,172,247,378,90
"404",533,80,458,132,73,414,538,266,22,376
"405",179,249,91,508,98,308,301,89,509,254
"406",118,518,205,276,456,221,347,328,188,503
"407",527,28,507,565,433,149,503,118,164,18
"408",263,359,216,256,164,519,512,550,402,297
"409",485,524,454,262,491,156,328,518,475,408
"410",166,525,242,161,256,88,481,450,152,528
"411",163,253,358,313,17,126,407,69,44,280
"412",1,534,220,117,260,369,206,556,144,472
"413",509,16,288,147,71,406,311,332,101,218
"414",15,296,429,523,193,549,51,103,199,153
"415",421,145,482,288,348,125,563,192,453,219
"416",290,272,341,264,150,363,442,353,447,400
"417",98,180,330,495,558,305,148,453,560,323
"418",91,543,270,534,425,513,537,302,443,149
"419",152,325,18,460,412,433,339,68,512,446
"420",513,552,34,491,273,173,58,543,71,127
"421",260,275,438,149,90,252,267,356,11,346
"422",267,212,80,271,262,11,230,473,519,233
"423",253,4,435,482,365,165,569,442,99,373
"424",511,53,39,60,44,138,44,419,189,63
"425",505,18,259,221,567,93,443,433,445,220
"426",65,470,397,309,521,75,173,413,194,140
"427",274,475,189,196,190,294,322,70,424,231
"428",396,56,63,107,226,179,326,232,109,125
"429",255,6,514,202,469,208,255,127,272,260
"430",84,117,329,543,364,431,543,538,292,17
"431",2,520,428,40,317,387,336,31,394,157
"432",185,422,159,492,391,373,211,489,436,235
"433",191,392,251,405,92,241,465,230,393,524
"434",539,49,460,502,252,243,396,261,254,229
"435",358,31,491,168,152,470,390,532,535,545
"436",130,316,478,416,439,494,542,29,136,460
"437",475,482,553,383,95,440,323,402,285,108
"438",523,415,112,227,356,456,43,24,470,174
"439",115,307,174,400,270,405,96,176,28,293
"440",318,142,348,564,84,123,483,553,395,83
"441",393,62,337,250,330,117,16,384,83,321
"442",495,153,214,260,134,564,361,431,73,413
"443",341,322,120,306,2,18,391,567,525,253
"444",385,401,269,339,35,134,406,144,463,276
"445",17,105,200,236,468,385,521,469,45,3
"446",190,484,437,228,280,260,53,380,370,239
"447",154,185,308,176,77,220,33,21,479,458
"448",348,281,272,451,8,5,261,225,62,241
"449",168,36,249,510,174,499,120,120,458,390
"450",215,440,156,343,350,111,141,179,139,31
"451",349,216,472,362,551,429,249,201,75,299
"452",47,483,86,128,536,421,42,123,82,56
"453",557,439,233,68,442,548,131,377,550,334
"454",53,351,350,144,146,453,436,423,160,432
"455",88,273,35,439,59,120,380,160,61,6
